Titulo,Precio_Original_Texto,Precio_CLP_Final,Moneda_Origen,Descuento,Link
Departamento CERRO LAS DELICIAS,$450.000,450000,CLP (Corregido),No,https://www.yapo.cl/bienes-raices-alquiler-apartamentos/departamento-cerro-las-delicias/31711632
CERRO SANTO DOMINGO,$280.000,280000,CLP (Corregido),No,https://www.yapo.cl/bienes-raices-alquiler-apartamentos/cerro-santo-domingo/31781857
Departamento en Avenida Lomas de la Luz,$360.000,360000,CLP (Corregido),No,https://www.yapo.cl/bienes-raices-alquiler-apartamentos/departamento-en-avenida-lomas-de-la-luz/31837946
ARRIENDO DEPARTAMENTO CUMBRES DE CURAUMA II,$450.000,450000,CLP (Corregido),No,https://www.yapo.cl/bienes-raices-alquiler-apartamentos/arriendo-departamento-cumbres-de-curauma-ii/31620435
DEPARTAMENTO INACAP,$480.000,480000,CLP (Corregido),No,https://www.yapo.cl/bienes-raices-alquiler-apartamentos/departamento-inacap/31373967
2 Dormitorios 2 Baños 2 Terrazas Edificio Los Placeres,$399.000,399000,CLP (Corregido),No,https://www.yapo.cl/bienes-raices-alquiler-apartamentos/2-dormitorios-2-banos-2-terrazas-edificio-los-placeres/31682908
2 Dorm 2 B - Altura Colon - Amoblado,$460.000,460000,CLP (Corregido),No,https://www.yapo.cl/bienes-raices-alquiler-apartamentos/2-dorm-2-b-altura-colon-amoblado/31768294
Cam. los Ingleses 71 (1 Est ) [2574-3],"$460,000",460,CLP,,https://www.yapo.cl/bienes-raices-alquiler-apartamentos/cam-los-ingleses-71-1-est-2574-3/31474288
2 DORM – VISTA AL MAR MIRADOR BARON,$750.000,750000,CLP (Corregido),No,https://www.yapo.cl/bienes-raices-alquiler-apartamentos/2-dorm-vista-al-mar-mirador-baron/31522967
"DEPARTAMENTO Departamento en Cerro Alegre, Gastos Comunes INCLUIDOS",$800.000,800000,CLP (Corregido),No,https://www.yapo.cl/bienes-raices-alquiler-apartamentos/departamento-departamento-en-cerro-alegre-gastos-comunes-incluidos/29038451
Departamento CONDOMINIO ALTURAS DE CURAUMA,$530.000,530000,CLP (Corregido),No,https://www.yapo.cl/bienes-raices-alquiler-apartamentos/departamento-condominio-alturas-de-curauma/31729422
año corrido enero amoblado 1d1b (137357),$350.000,350000,CLP (Corregido),,https://www.yapo.cl/bienes-raices-alquiler-apartamentos/ano-corrido-enero-amoblado-1d1b-137357/31783572
Confort y Estilo en Pleno Cerro Placeres (140994),$310.000,310000,CLP (Corregido),No,https://www.yapo.cl/bienes-raices-alquiler-apartamentos/confort-y-estilo-en-pleno-cerro-placeres-140994/31864426
Se Arrienda depto amoblado en Valparaiso (43998),$420.000,420000,CLP (Corregido),No,https://www.yapo.cl/bienes-raices-alquiler-apartamentos/se-arrienda-depto-amoblado-en-valparaiso-43998/28943351
DEPARTAMENTO Hector calvo 262,$415.000,415000,CLP (Corregido),No,https://www.yapo.cl/bienes-raices-alquiler-apartamentos/departamento-hector-calvo-262/31595364
Arriendo departamento en Cerro Merced,$550.000,550000,CLP (Corregido),No,https://www.yapo.cl/bienes-raices-alquiler-apartamentos/arriendo-departamento-en-cerro-merced/31444996
Arriendo departamento 2D 2B en cerro Placeres Valparaíso,$450.000,450000,CLP (Corregido),No,https://www.yapo.cl/bienes-raices-alquiler-apartamentos/arriendo-departamento-2d-2b-en-cerro-placeres-valparaiso/31864874
2 Dorm - Parque Los Ingleses - Frente Sta Isabel,$390.000,390000,CLP (Corregido),No,https://www.yapo.cl/bienes-raices-alquiler-apartamentos/2-dorm-parque-los-ingleses-frente-sta-isabel/31707698
Arriendo departamento en Cerro Merced,$550.000,550000,CLP (Corregido),No,https://www.yapo.cl/bienes-raices-alquiler-apartamentos/arriendo-departamento-en-cerro-merced/31444999
Departamiento 3 habitaciones en Valparaiso,$650.000,650000,CLP (Corregido),No,https://www.yapo.cl/bienes-raices-alquiler-apartamentos/departamiento-3-habitaciones-en-valparaiso/26140828
"Departamento Av. Lomas de la Luz, Valparaíso",$430.000,430000,CLP (Corregido),No,https://www.yapo.cl/bienes-raices-alquiler-apartamentos/departamento-av-lomas-de-la-luz-valparaiso/31822845
DEPARTAMENTO Municipio con Av Playa Ancha,$350.000,350000,CLP (Corregido),No,https://www.yapo.cl/bienes-raices-alquiler-apartamentos/departamento-municipio-con-av-playa-ancha/31480521
Depto 1d1b cercano a USM y plan valparaiso  (140118),$360.000,360000,CLP (Corregido),No,https://www.yapo.cl/bienes-raices-alquiler-apartamentos/depto-1d1b-cercano-a-usm-y-plan-valparaiso-140118/31842236
Departamento en Avenida Lomas de la Luz,$360.000,360000,CLP (Corregido),No,https://www.yapo.cl/bienes-raices-alquiler-apartamentos/departamento-en-avenida-lomas-de-la-luz/31837946
Departamento BREMEN 290,$450.000,450000,CLP (Corregido),No,https://www.yapo.cl/bienes-raices-alquiler-apartamentos/departamento-bremen-290/31762762
ARRIENDO  DE 2 DORMITORIOS 1 BAÑO,$450.000,450000,CLP (Corregido),,https://www.yapo.cl/bienes-raices-alquiler-apartamentos/arriendo-de-2-dormitorios-1-bano/31777119
DEPARTAMENTO INACAP,$480.000,480000,CLP (Corregido),No,https://www.yapo.cl/bienes-raices-alquiler-apartamentos/departamento-inacap/31373967
DEPARTAMENTO Torre baron 2,$550.000,550000,CLP (Corregido),No,https://www.yapo.cl/bienes-raices-alquiler-apartamentos/departamento-torre-baron-2/31758324
Brasil 2608 [2655-1],"$440,000",440,CLP,No,https://www.yapo.cl/bienes-raices-alquiler-apartamentos/brasil-2608-2655-1/29262304
CERRO SANTO DOMINGO,$280.000,280000,CLP (Corregido),No,https://www.yapo.cl/bienes-raices-alquiler-apartamentos/cerro-santo-domingo/31781857
Manuel Antonio Matta (1 Bod) [3673-3],"$400,000",400,CLP,No,https://www.yapo.cl/bienes-raices-alquiler-apartamentos/manuel-antonio-matta-1-bod-3673-3/31840616
Arriendo depto año corrido,"UF13,00",516679,UF,No,https://www.yapo.cl/bienes-raices-alquiler-apartamentos/arriendo-depto-ano-corrido/25856681
DEPARTAMENTO Belgrano con Vega,$450.000,450000,CLP (Corregido),No,https://www.yapo.cl/bienes-raices-alquiler-apartamentos/departamento-belgrano-con-vega/31871700
ARRIENDO DPTO AMPLIO EN IGNACIO CARRERA 208 villa,$585.000,585000,CLP (Corregido),No,https://www.yapo.cl/bienes-raices-alquiler-apartamentos/arriendo-dpto-amplio-en-ignacio-carrera-208-villa/31565342
VALPARAÍSO-ARRIENDO DEPTO 3D/1B CON VISTA AL MAR,$450.000,450000,CLP (Corregido),No,https://www.yapo.cl/bienes-raices-alquiler-apartamentos/valparaiso-arriendo-depto-3d-1b-con-vista-al-mar/31839586
"DEPARTAMENTO Diego Portales , Valparaíso (cvd-46.444)",$480.000,480000,CLP (Corregido),No,https://www.yapo.cl/bienes-raices-alquiler-apartamentos/departamento-diego-portales-valparaiso-cvd-46-444/31692179
Arriendo Cómodo Departamento en Cumbres de Curauma III,$480.000,480000,CLP (Corregido),No,https://www.yapo.cl/bienes-raices-alquiler-apartamentos/arriendo-comodo-departamento-en-cumbres-de-curauma-iii/31590059
DEPARTAMENTO 2D1B PLACERES,$280.000,280000,CLP (Corregido),No,https://www.yapo.cl/bienes-raices-alquiler-apartamentos/departamento-2d1b-placeres/31832039
2dormitorios2baños Cerro Placeres (137106),$500.000,500000,CLP (Corregido),No,https://www.yapo.cl/bienes-raices-alquiler-apartamentos/2dormitorios2banos-cerro-placeres-137106/31778907
DEPARTAMENTO Cerro Polanco,$300.000,300000,CLP (Corregido),No,https://www.yapo.cl/bienes-raices-alquiler-apartamentos/departamento-cerro-polanco/31871556
ARRIENDA DEPARTAMENTO 3ER PISO NUEVO EN CURAUMA,$530.000,530000,CLP (Corregido),,https://www.yapo.cl/bienes-raices-alquiler-apartamentos/arrienda-departamento-3er-piso-nuevo-en-curauma/31368209
"Ref:RE Amplio, Cómodo y Hermoso dpto de 2D+1B",$400.000,400000,CLP (Corregido),No,https://www.yapo.cl/bienes-raices-alquiler-apartamentos/ref-re-amplio-comodo-y-hermoso-dpto-de-2d-1b/31857498
Espacioso Hogar con Excelente Conectividad (129565),$390.000,390000,CLP (Corregido),,https://www.yapo.cl/bienes-raices-alquiler-apartamentos/espacioso-hogar-con-excelente-conectividad-129565/31604905
DEPARTAMENTO Hospital DR. Eduardo Pereira,$380.000,380000,CLP (Corregido),No,https://www.yapo.cl/bienes-raices-alquiler-apartamentos/departamento-hospital-dr-eduardo-pereira/31827955
Arriendo Depto Amoblado Plan Valpo GC incluido,$570.000,570000,CLP (Corregido),No,https://www.yapo.cl/bienes-raices-alquiler-apartamentos/arriendo-depto-amoblado-plan-valpo-gc-incluido/25879856
DEPARTAMENTO SOL DE CURAUMA,$450.000,450000,CLP (Corregido),No,https://www.yapo.cl/bienes-raices-alquiler-apartamentos/departamento-sol-de-curauma/31271606
2dormitorios2baños Cerro Placeres (137106),$500.000,500000,CLP (Corregido),No,https://www.yapo.cl/bienes-raices-alquiler-apartamentos/2dormitorios2banos-cerro-placeres-137106/31778907
DEPARTAMENTO EN ARRIENDO CERRO LARRAÍN - VALPARAÍSO,$560.000,560000,CLP (Corregido),No,https://www.yapo.cl/bienes-raices-alquiler-apartamentos/departamento-en-arriendo-cerro-larrain-valparaiso/31271607
2 Dormitorios 2 Baños 2 Terrazas Edificio Los Placeres,$399.000,399000,CLP (Corregido),No,https://www.yapo.cl/bienes-raices-alquiler-apartamentos/2-dormitorios-2-banos-2-terrazas-edificio-los-placeres/31682908
"Departamento Navío San Martín, Valparaíso",$580.000,580000,CLP (Corregido),No,https://www.yapo.cl/bienes-raices-alquiler-apartamentos/departamento-navio-san-martin-valparaiso/31419958
NAVIO SAN MARTIN - 3D | 1B | SIN ESTACIONAMIENTO,$400.000,400000,CLP (Corregido),No,https://www.yapo.cl/bienes-raices-alquiler-apartamentos/navio-san-martin-3d-1b-sin-estacionamiento/31271608
ARRIENDA DEPARTAMENTO 3ER PISO NUEVO EN CURAUMA,$530.000,530000,CLP (Corregido),,https://www.yapo.cl/bienes-raices-alquiler-apartamentos/arrienda-departamento-3er-piso-nuevo-en-curauma/31368209
Arriendo Cómodo Departamento en Cumbres de Curauma III,$480.000,480000,CLP (Corregido),No,https://www.yapo.cl/bienes-raices-alquiler-apartamentos/arriendo-comodo-departamento-en-cumbres-de-curauma-iii/31590059
Brasil 2608 [2655-4],"$520,000",520,CLP,No,https://www.yapo.cl/bienes-raices-alquiler-apartamentos/brasil-2608-2655-4/29250510
Depto Estilo Mariposa | Cerro Los Placeres,$590.000,590000,CLP (Corregido),No,https://www.yapo.cl/bienes-raices-alquiler-apartamentos/depto-estilo-mariposa-cerro-los-placeres/26643062
Arriendo departamento navio san martin valparaiso,$400.000,400000,CLP (Corregido),No,https://www.yapo.cl/bienes-raices-alquiler-apartamentos/arriendo-departamento-navio-san-martin-valparaiso/28251064
1D remodelado full estilo en Bosque Inglés (136756),$400.000,400000,CLP (Corregido),No,https://www.yapo.cl/bienes-raices-alquiler-apartamentos/1d-remodelado-full-estilo-en-bosque-ingles-136756/31772016
ARRIENDO  DE 2 DORMITORIOS 1 BAÑO,$450.000,450000,CLP (Corregido),,https://www.yapo.cl/bienes-raices-alquiler-apartamentos/arriendo-de-2-dormitorios-1-bano/31777119
Departamento CONDOMINIO ALTURAS DE CURAUMA,$530.000,530000,CLP (Corregido),No,https://www.yapo.cl/bienes-raices-alquiler-apartamentos/departamento-condominio-alturas-de-curauma/31729422
año corrido enero amoblado 1d1b (137357),$350.000,350000,CLP (Corregido),,https://www.yapo.cl/bienes-raices-alquiler-apartamentos/ano-corrido-enero-amoblado-1d1b-137357/31783572
Departamento en Navío San Martín,$190.000,190000,CLP (Corregido),,https://www.yapo.cl/bienes-raices-alquiler-apartamentos/departamento-en-navio-san-martin/31401523
Arriendo departamento 2D 2B en cerro Placeres Valparaíso,$450.000,450000,CLP (Corregido),No,https://www.yapo.cl/bienes-raices-alquiler-apartamentos/arriendo-departamento-2d-2b-en-cerro-placeres-valparaiso/31864874
"VASS arrienda depto 2D 2B en Cerro San Roque, Valparaíso",$390.000,390000,CLP (Corregido),No,https://www.yapo.cl/bienes-raices-alquiler-apartamentos/vass-arrienda-depto-2d-2b-en-cerro-san-roque-valparaiso/31834724
Confort y Estilo en Pleno Cerro Placeres (140994),$310.000,310000,CLP (Corregido),No,https://www.yapo.cl/bienes-raices-alquiler-apartamentos/confort-y-estilo-en-pleno-cerro-placeres-140994/31864426
DEPARTAMENTO Condominio Valle los Ingleses 1,$480.000,480000,CLP (Corregido),No,https://www.yapo.cl/bienes-raices-alquiler-apartamentos/departamento-condominio-valle-los-ingleses-1/31803078
Estudio cercano a USM Valparaiso vista al Mar (140105),$340.000,340000,CLP (Corregido),No,https://www.yapo.cl/bienes-raices-alquiler-apartamentos/estudio-cercano-a-usm-valparaiso-vista-al-mar-140105/31841929
"Departamento  en Juan Pablo II , Valparaiso",$320.000,320000,CLP (Corregido),No,https://www.yapo.cl/bienes-raices-alquiler-apartamentos/departamento-en-juan-pablo-ii-valparaiso/31824530
ARRIENDO DEPTO FULL AMOBLADO VALPO,$620.000,620000,CLP (Corregido),,https://www.yapo.cl/bienes-raices-alquiler-apartamentos/arriendo-depto-full-amoblado-valpo/31741130
2 Dorm Av Argentina Frente Mall - ESTACIONAMIENTO,$520.000,520000,CLP (Corregido),No,https://www.yapo.cl/bienes-raices-alquiler-apartamentos/2-dorm-av-argentina-frente-mall-estacionamiento/31788532
Arriendo Departamento Condominio Puertas del Lago,$450.000,450000,CLP (Corregido),No,https://www.yapo.cl/bienes-raices-alquiler-apartamentos/arriendo-departamento-condominio-puertas-del-lago/25869382
Departamento en arriendo en Cerro Placeres,$230.000,230000,CLP (Corregido),No,https://www.yapo.cl/bienes-raices-alquiler-apartamentos/departamento-en-arriendo-en-cerro-placeres/31639282
DEPARTAMENTO Departamento Cerro Las Delicias,$660.000,660000,CLP (Corregido),No,https://www.yapo.cl/bienes-raices-alquiler-apartamentos/departamento-departamento-cerro-las-delicias/29384632
"Departamento Av. Lomas de la Luz, Valparaíso",$430.000,430000,CLP (Corregido),No,https://www.yapo.cl/bienes-raices-alquiler-apartamentos/departamento-av-lomas-de-la-luz-valparaiso/31822845
Departamento en Avenida Lomas de la Luz,$360.000,360000,CLP (Corregido),No,https://www.yapo.cl/bienes-raices-alquiler-apartamentos/departamento-en-avenida-lomas-de-la-luz/31837946
ARRIENDO 3 D+2 B EN CURAUMA (139565),$450.000,450000,CLP (Corregido),No,https://www.yapo.cl/bienes-raices-alquiler-apartamentos/arriendo-3-d-2-b-en-curauma-139565/31831346
ARRIENDO AMOBLADO AÑO CORRIDO 2 DORMITORIOS 2 BAÑOS,$700.000,700000,CLP (Corregido),No,https://www.yapo.cl/bienes-raices-alquiler-apartamentos/arriendo-amoblado-ano-corrido-2-dormitorios-2-banos/31818746
EN ARRIENDO DEPARTAMENTO 3D / 2B CONDOMINIO CUMBRES DE CURAUMA,$460.000,460000,CLP (Corregido),,https://www.yapo.cl/bienes-raices-alquiler-apartamentos/en-arriendo-departamento-3d-2b-condominio-cumbres-de-curauma/31797747
Depto pasos de la playa excelente vista (126086),$1.500.000,1500000,CLP (Corregido),No,https://www.yapo.cl/bienes-raices-alquiler-apartamentos/depto-pasos-de-la-playa-excelente-vista-126086/31528547
Se arrienda dp en Placeres 2D 2B (76944),$500.000,500000,CLP (Corregido),No,https://www.yapo.cl/bienes-raices-alquiler-apartamentos/se-arrienda-dp-en-placeres-2d-2b-76944/29861448
DEPTO MARZO-DIC BOSQUE INGLES GASTO COMÚN INCLUIDO,$480.000,480000,CLP (Corregido),No,https://www.yapo.cl/bienes-raices-alquiler-apartamentos/depto-marzo-dic-bosque-ingles-gasto-comun-incluido/31866848
Moderno Depto. con Amplias Terrazas (131774),$410.000,410000,CLP (Corregido),No,https://www.yapo.cl/bienes-raices-alquiler-apartamentos/moderno-depto-con-amplias-terrazas-131774/31659550
Moderno departamento studio colores de Baron (131783),$500.000,500000,CLP (Corregido),No,https://www.yapo.cl/bienes-raices-alquiler-apartamentos/moderno-departamento-studio-colores-de-baron-131783/31660150
Se Arrienda depto amoblado en Valparaiso (43998),$420.000,420000,CLP (Corregido),No,https://www.yapo.cl/bienes-raices-alquiler-apartamentos/se-arrienda-depto-amoblado-en-valparaiso-43998/28943351
ARRIENDO DEPARTAMENTO EN CURAUMA  (113800),$400.000,400000,CLP (Corregido),No,https://www.yapo.cl/bienes-raices-alquiler-apartamentos/arriendo-departamento-en-curauma-113800/31353151
DEPTO EXCELENTE UBICACIÓN GASTO COMÚN INCLUIDO,$520.000,520000,CLP (Corregido),No,https://www.yapo.cl/bienes-raices-alquiler-apartamentos/depto-excelente-ubicacion-gasto-comun-incluido/31866851
"DEPARTAMENTO Departamento en Cerro Alegre, Gastos Comunes INCLUIDOS",$800.000,800000,CLP (Corregido),No,https://www.yapo.cl/bienes-raices-alquiler-apartamentos/departamento-departamento-en-cerro-alegre-gastos-comunes-incluidos/29038451
DEPARTAMENTO Virgilio Arias,$500.000,500000,CLP (Corregido),No,https://www.yapo.cl/bienes-raices-alquiler-apartamentos/departamento-virgilio-arias/30362152
DEPARTAMENTO cerro placeres,$490.000,490000,CLP (Corregido),,https://www.yapo.cl/bienes-raices-alquiler-apartamentos/departamento-cerro-placeres/31047452
DEPTO EXCELENTE UBICACIÓN GASTO COMÚN INCLUIDO,$490.000,490000,CLP (Corregido),No,https://www.yapo.cl/bienes-raices-alquiler-apartamentos/depto-excelente-ubicacion-gasto-comun-incluido/31866853
Departamento en arriendo c/ estacionamiento en Placilla,$480.000,480000,CLP (Corregido),No,https://www.yapo.cl/bienes-raices-alquiler-apartamentos/departamento-en-arriendo-c-estacionamiento-en-placilla/31783254
"Marzo-Diciembre, Amoblado (80364)",$480.000,480000,CLP (Corregido),,https://www.yapo.cl/bienes-raices-alquiler-apartamentos/marzo-diciembre-amoblado-80364/30040554
Depto Amoblado en Cerro Polanco 1D 1B 1E *GC INCLUIDOS,$450.000,450000,CLP (Corregido),No,https://www.yapo.cl/bienes-raices-alquiler-apartamentos/depto-amoblado-en-cerro-polanco-1d-1b-1e-gc-incluidos/31832954
DEPARTAMENTO Hospital DR. Eduardo Pereira,$380.000,380000,CLP (Corregido),No,https://www.yapo.cl/bienes-raices-alquiler-apartamentos/departamento-hospital-dr-eduardo-pereira/31827955
ARRIENDO DEPTO  1 DORMIT CERRO PLACERES,$325.000,325000,CLP (Corregido),No,https://www.yapo.cl/bienes-raices-alquiler-apartamentos/arriendo-depto-1-dormit-cerro-placeres/31828455
Arriendo Depto Amoblado Plan Valpo GC incluido,$570.000,570000,CLP (Corregido),No,https://www.yapo.cl/bienes-raices-alquiler-apartamentos/arriendo-depto-amoblado-plan-valpo-gc-incluido/25879856
